grid_index,time_s
0,0.650000
1,0.783333
2,0.916667
3,1.050000
4,1.183333
5,1.316667
6,1.450000
7,1.581667
8,1.713333
9,1.845000
10,1.976667
11,2.108333
12,2.240000
13,2.375000
14,2.510000
15,2.645000
16,2.780000
17,2.915000
18,3.050000
19,3.178333
20,3.306667
21,3.435000
22,3.563333
23,3.691667
24,3.820000
25,3.958333
26,4.096667
27,4.235000
28,4.373333
29,4.511667
30,4.650000
31,4.776667
32,4.903333
33,5.030000
34,5.156667
35,5.283333
36,5.410000
37,5.543333
38,5.676667
39,5.810000
40,5.943333
41,6.076667
42,6.210000
43,6.345000
44,6.480000
45,6.615000
46,6.750000
47,6.885000
48,7.020000
49,7.151667
50,7.283333
51,7.415000
52,7.546667
53,7.678333
54,7.810000
55,7.961667
56,8.113333
57,8.265000
58,8.416667
59,8.568333
60,8.720000
61,8.856667
62,8.993333
63,9.130000
64,9.266667
65,9.403333
66,9.540000
67,9.688333
68,9.836667
69,9.985000
70,10.133333
71,10.281667
72,10.430000
73,10.566667
74,10.703333
75,10.840000
76,10.976667
77,11.113333
78,11.250000
79,11.395000
80,11.540000
81,11.685000
82,11.830000
83,11.975000
84,12.120000
85,12.265000
86,12.410000
87,12.555000
88,12.700000
89,12.845000
90,12.990000
91,13.135000
92,13.280000
93,13.425000
94,13.570000
95,13.715000
96,13.860000
97,14.006667
98,14.153333
99,14.300000
100,14.446667
101,14.593333
102,14.740000
103,14.891667
104,15.043333
105,15.195000
106,15.346667
107,15.498333
108,15.650000
109,15.795000
110,15.940000
111,16.085000
112,16.230000
113,16.375000
114,16.520000
115,16.660000
116,16.800000
117,16.940000
118,17.080000
119,17.220000
120,17.360000
121,17.513333
122,17.666667
123,17.820000
124,17.973333
125,18.126667
126,18.280000
127,18.423333
128,18.566667
129,18.710000
130,18.853333
131,18.996667
132,19.140000
133,19.290000
134,19.440000
135,19.590000
136,19.740000
137,19.890000
138,20.040000
139,20.188333
140,20.336667
141,20.485000
142,20.633333
143,20.781667
144,20.930000
145,21.071667
146,21.213333
147,21.355000
148,21.496667
149,21.638333
150,21.780000
151,21.921667
152,22.063333
153,22.205000
154,22.346667
155,22.488333
156,22.630000
157,22.766667
158,22.903333
159,23.040000
160,23.176667
161,23.313333
162,23.450000
163,23.590000
164,23.730000
165,23.870000
166,24.010000
167,24.150000
168,24.290000
169,24.431667
170,24.573333
171,24.715000
172,24.856667
173,24.998333
174,25.140000
175,25.290000
176,25.440000
177,25.590000
178,25.740000
179,25.890000
180,26.040000
181,26.191667
182,26.343333
183,26.495000
184,26.646667
185,26.798333
186,26.950000
187,27.095000
188,27.240000
189,27.385000
190,27.530000
191,27.675000
192,27.820000
193,27.960000
194,28.100000
195,28.240000
196,28.380000
197,28.520000
198,28.660000
199,28.808333
200,28.956667
201,29.105000
202,29.253333
203,29.401667
204,29.550000
205,29.690000
206,29.830000
207,29.970000
208,30.110000
209,30.250000
210,30.390000
211,30.538333
212,30.686667
213,30.835000
214,30.983333
215,31.131667
216,31.280000
217,31.415000
218,31.550000
219,31.685000
220,31.820000
221,31.955000
222,32.090000
223,32.241667
224,32.393333
225,32.545000
226,32.696667
227,32.848333
228,33.000000
229,33.146667
230,33.293333
231,33.440000
232,33.586667
233,33.733333
234,33.880000
235,34.016667
236,34.153333
237,34.290000
238,34.426667
239,34.563333
240,34.700000
241,34.848333
242,34.996667
243,35.145000
244,35.293333
245,35.441667
246,35.590000
247,35.731667
248,35.873333
249,36.015000
250,36.156667
251,36.298333
252,36.440000
253,36.591667
254,36.743333
255,36.895000
256,37.046667
257,37.198333
258,37.350000
259,37.491667
260,37.633333
261,37.775000
262,37.916667
263,38.058333
264,38.200000
265,38.338333
266,38.476667
267,38.615000
268,38.753333
269,38.891667
270,39.030000
271,39.185000
272,39.340000
273,39.495000
274,39.650000
275,39.805000
276,39.960000
277,40.108333
278,40.256667
279,40.405000
280,40.553333
281,40.701667
282,40.850000
283,41.011667
284,41.173333
285,41.335000
286,41.496667
287,41.658333
288,41.820000
289,41.976667
290,42.133333
291,42.290000
292,42.446667
293,42.603333
294,42.760000
295,42.930000
296,43.100000
297,43.270000
298,43.440000
299,43.610000
300,43.780000
301,43.941667
302,44.103333
303,44.265000
304,44.426667
305,44.588333
306,44.750000
307,44.920000
308,45.090000
309,45.260000
310,45.430000
311,45.600000
312,45.770000
313,45.941667
314,46.113333
315,46.285000
316,46.456667
317,46.628333
318,46.800000
319,46.965000
320,47.130000
321,47.295000
322,47.460000
323,47.625000
324,47.790000
325,47.946667
326,48.103333
327,48.260000
328,48.416667
329,48.573333
330,48.730000
331,48.898333
332,49.066667
333,49.235000
334,49.403333
335,49.571667
336,49.740000
337,49.891667
338,50.043333
339,50.195000
340,50.346667
341,50.498333
342,50.650000
343,50.806667
344,50.963333
345,51.120000
346,51.276667
347,51.433333
348,51.590000
349,51.748333
350,51.906667
351,52.065000
352,52.223333
353,52.381667
354,52.540000
355,52.693333
356,52.846667
357,53.000000
358,53.153333
359,53.306667
360,53.460000
361,53.606667
362,53.753333
363,53.900000
364,54.046667
365,54.193333
366,54.340000
367,54.493333
368,54.646667
369,54.800000
370,54.953333
371,55.106667
372,55.260000
373,55.418333
374,55.576667
375,55.735000
376,55.893333
377,56.051667
378,56.210000
379,56.373333
380,56.536667
381,56.700000
382,56.863333
383,57.026667
384,57.190000
385,57.348333
386,57.506667
387,57.665000
388,57.823333
389,57.981667
390,58.140000
391,58.291667
392,58.443333
393,58.595000
394,58.746667
395,58.898333
396,59.050000
397,59.206667
398,59.363333
399,59.520000
400,59.676667
401,59.833333
402,59.990000
403,60.153333
404,60.316667
405,60.480000
406,60.643333
407,60.806667
408,60.970000
409,61.128333
410,61.286667
411,61.445000
412,61.603333
413,61.761667
414,61.920000
415,62.073333
416,62.226667
417,62.380000
418,62.533333
419,62.686667
420,62.840000
421,63.000000
422,63.160000
423,63.320000
424,63.480000
425,63.640000
426,63.800000
427,63.948333
428,64.096667
429,64.245000
430,64.393333
431,64.541667
432,64.690000
433,64.840000
434,64.990000
435,65.140000
436,65.290000
437,65.440000
438,65.590000
439,65.740000
440,65.890000
441,66.040000
442,66.190000
443,66.340000
444,66.490000
445,66.643333
446,66.796667
447,66.950000
448,67.103333
449,67.256667
450,67.410000
451,67.578333
452,67.746667
453,67.915000
454,68.083333
455,68.251667
456,68.420000
457,68.575000
458,68.730000
459,68.885000
460,69.040000
461,69.195000
462,69.350000
463,69.521667
464,69.693333
465,69.865000
466,70.036667
467,70.208333
468,70.380000
469,70.548333
470,70.716667
471,70.885000
472,71.053333
473,71.221667
474,71.390000
475,71.566667
476,71.743333
477,71.920000
478,72.096667
479,72.273333
480,72.450000
481,72.613333
482,72.776667
483,72.940000
484,73.103333
485,73.266667
486,73.430000
487,73.615000
488,73.800000
489,73.985000
490,74.170000
491,74.355000
492,74.540000
493,74.726667
494,74.913333
495,75.100000
496,75.286667
497,75.473333
498,75.660000
499,75.835000
500,76.010000
501,76.185000
502,76.360000
503,76.535000
504,76.710000
505,76.890000
506,77.070000
507,77.250000
508,77.430000
509,77.610000
510,77.790000
511,77.978333
512,78.166667
513,78.355000
514,78.543333
515,78.731667
516,78.920000
517,79.098333
518,79.276667
519,79.455000
520,79.633333
521,79.811667
522,79.990000
523,80.176667
524,80.363333
525,80.550000
526,80.736667
527,80.923333
528,81.110000
529,81.280000
530,81.450000
531,81.620000
532,81.790000
533,81.960000
534,82.130000
535,82.313333
536,82.496667
537,82.680000
538,82.863333
539,83.046667
540,83.230000
541,83.391667
542,83.553333
543,83.715000
544,83.876667
545,84.038333
546,84.200000
547,84.358333
548,84.516667
549,84.675000
550,84.833333
551,84.991667
552,85.150000
553,85.313333
554,85.476667
555,85.640000
556,85.803333
557,85.966667
558,86.130000
559,86.266667
560,86.403333
561,86.540000
562,86.676667
563,86.813333
564,86.950000
565,87.095000
566,87.240000
567,87.385000
568,87.530000
569,87.675000
570,87.820000
571,87.961667
572,88.103333
573,88.245000
574,88.386667
575,88.528333
576,88.670000
577,88.813333
578,88.956667
579,89.100000
580,89.243333
581,89.386667
582,89.530000
583,89.680000
584,89.830000
585,89.980000
586,90.130000
587,90.280000
588,90.430000
589,90.575000
590,90.720000
591,90.865000
592,91.010000
593,91.155000
594,91.300000
595,91.446667
596,91.593333
597,91.740000
598,91.886667
599,92.033333
600,92.180000
601,92.326667
602,92.473333
603,92.620000
604,92.766667
605,92.913333
606,93.060000
607,93.198333
608,93.336667
609,93.475000
610,93.613333
611,93.751667
612,93.890000
613,94.035000
614,94.180000
615,94.325000
616,94.470000
617,94.615000
618,94.760000
619,94.913333
620,95.066667
621,95.220000
622,95.373333
623,95.526667
624,95.680000
625,95.815000
626,95.950000
627,96.085000
628,96.220000
629,96.355000
630,96.490000
631,96.636667
632,96.783333
633,96.930000
634,97.076667
635,97.223333
636,97.370000
637,97.515000
638,97.660000
639,97.805000
640,97.950000
641,98.095000
642,98.240000
643,98.383333
644,98.526667
645,98.670000
646,98.813333
647,98.956667
648,99.100000
649,99.240000
650,99.380000
651,99.520000
652,99.660000
653,99.800000
654,99.940000
655,100.095000
656,100.250000
657,100.405000
658,100.560000
659,100.715000
660,100.870000
661,101.008333
662,101.146667
663,101.285000
664,101.423333
665,101.561667
666,101.700000
667,101.848333
668,101.996667
669,102.145000
670,102.293333
671,102.441667
672,102.590000
673,102.741667
674,102.893333
675,103.045000
676,103.196667
677,103.348333
678,103.500000
679,103.643333
680,103.786667
681,103.930000
682,104.073333
683,104.216667
684,104.360000
685,104.506667
686,104.653333
687,104.800000
688,104.946667
689,105.093333
690,105.240000
691,105.383333
692,105.526667
693,105.670000
694,105.813333
695,105.956667
696,106.100000
697,106.248333
698,106.396667
699,106.545000
700,106.693333
701,106.841667
702,106.990000
703,107.126667
704,107.263333
705,107.400000
706,107.536667
707,107.673333
708,107.810000
709,107.958333
710,108.106667
711,108.255000
712,108.403333
713,108.551667
714,108.700000
715,108.846667
716,108.993333
717,109.140000
718,109.286667
719,109.433333
720,109.580000
721,109.723333
722,109.866667
723,110.010000
724,110.153333
725,110.296667
726,110.440000
727,110.576667
728,110.713333
729,110.850000
730,110.986667
731,111.123333
732,111.260000
733,111.405000
734,111.550000
735,111.695000
736,111.840000
737,111.985000
738,112.130000
739,112.273333
740,112.416667
741,112.560000
742,112.703333
743,112.846667
744,112.990000
745,113.135000
746,113.280000
747,113.425000
748,113.570000
