onset_s,offset_s,pitch,strength_0_1,dur_ms
4.576899,4.820708,38,0.457,243.8
7.840586,8.782278,62,0.795,941.7
8.445589,8.828718,69,0.701,383.1
9.002868,9.374387,69,0.339,371.5
9.211848,9.490487,62,0.591,278.6
9.583367,10.002610,60,0.661,419.2
10.141930,10.374129,60,0.370,232.2
10.432179,11.256488,62,0.787,824.3
11.384197,11.919540,62,0.528,535.3
12.116910,13.835186,62,0.575,1718.3
14.881368,15.427037,62,0.598,545.7
15.345767,15.833386,69,0.677,487.6
16.194580,16.333899,62,0.622,139.3
16.194580,16.333899,69,0.409,139.3
16.310679,16.914398,60,0.622,603.7
17.460067,20.539279,62,0.819,3079.2
21.084948,21.259098,45,0.386,174.1
21.131388,21.305537,60,0.583,174.1
21.293927,22.758068,62,0.803,1464.1
22.258839,22.456209,69,0.598,197.4
22.630359,22.967048,69,0.488,336.7
23.059928,23.454667,62,0.472,394.7
23.059928,23.373397,69,0.386,313.5
23.570767,24.349919,60,0.795,779.2
24.094500,25.232278,62,0.740,1137.8
25.034908,25.359987,69,0.394,325.1
25.476087,25.719897,69,0.370,243.8
26.243629,27.858700,69,0.575,1615.1
26.510659,26.835738,62,0.283,325.1
28.787498,29.135798,62,0.724,348.3
28.810718,28.973258,86,0.402,162.5
29.124188,29.263507,67,0.622,139.3
29.275117,30.205200,69,0.488,930.1
30.065880,30.228420,62,0.567,162.5
30.216810,31.354587,60,0.811,1137.8
31.064338,35.258107,62,0.717,4193.8
33.783640,33.934570,74,0.283,150.9
36.199800,36.896398,65,0.780,696.6
36.942838,37.267917,65,0.583,325.1
37.627827,38.139950,67,0.630,512.1
38.453419,38.801718,69,0.724,348.3
39.544757,40.974068,65,0.827,1429.3
40.985678,41.693887,67,0.480,708.2
41.834490,46.016650,69,0.850,4182.2
46.097920,46.341729,72,0.551,243.8
46.097920,46.306899,84,0.339,209.0
46.388169,49.094578,86,0.598,2706.4
46.422999,49.175848,74,0.543,2752.8
49.384827,49.535757,86,0.370,150.9
50.163980,50.326519,69,0.378,162.5
50.396179,50.605159,72,0.591,209.0
50.651599,51.081168,74,0.622,429.6
51.441077,52.069300,74,0.480,628.2
51.441077,51.988030,86,0.457,547.0
53.067758,53.207078,76,0.370,139.3
53.218688,54.195210,77,0.693,976.5
54.195210,56.181800,76,0.780,1986.6
56.355949,56.506879,74,0.591,150.9
57.215088,57.622721,72,0.685,407.6
57.622721,58.029070,74,0.638,406.3
58.435419,58.853378,74,0.646,418.0
58.470249,58.737278,86,0.417,267.0
59.526757,59.980830,74,0.465,454.1
59.980830,60.131760,76,0.354,150.9
