onset_s,offset_s,pitch,strength_0_1,dur_ms
4.511667,4.776667,38,0.457,265.0
7.810000,8.720000,62,0.795,910.0
8.416667,8.856667,69,0.701,440.0
8.993333,9.403333,69,0.339,410.0
9.266667,9.540000,62,0.591,273.3
9.540000,9.985000,60,0.661,445.0
10.133333,10.430000,60,0.370,296.7
10.430000,11.250000,62,0.787,820.0
11.395000,11.975000,62,0.528,580.0
12.120000,13.860000,62,0.575,1740.0
14.891667,15.498333,62,0.598,606.7
15.346667,15.795000,69,0.677,448.3
16.230000,16.375000,62,0.622,145.0
16.230000,16.375000,69,0.409,145.0
16.375000,16.940000,60,0.622,565.0
17.513333,20.485000,62,0.819,2971.7
21.071667,21.213333,45,0.386,141.7
21.071667,21.355000,60,0.583,283.3
21.355000,22.766667,62,0.803,1411.7
22.205000,22.488333,69,0.598,283.3
22.630000,22.903333,69,0.488,273.3
23.040000,23.450000,62,0.472,410.0
23.040000,23.313333,69,0.386,273.3
23.590000,24.290000,60,0.795,700.0
24.150000,25.290000,62,0.740,1140.0
24.998333,25.290000,69,0.394,291.7
25.440000,25.740000,69,0.370,300.0
26.191667,27.820000,69,0.575,1628.3
26.495000,26.798333,62,0.283,303.3
28.808333,29.105000,62,0.724,296.7
28.808333,28.956667,86,0.402,148.3
29.105000,29.253333,67,0.622,148.3
29.253333,30.250000,69,0.488,996.7
30.110000,30.250000,62,0.567,140.0
30.250000,31.415000,60,0.811,1165.0
31.131667,35.293333,62,0.717,4161.7
33.733333,33.880000,74,0.283,146.7
36.156667,36.895000,65,0.780,738.3
36.895000,37.198333,65,0.583,303.3
37.633333,38.200000,67,0.630,566.7
38.476667,38.753333,69,0.724,276.7
39.495000,41.011667,65,0.827,1516.7
41.011667,41.658333,67,0.480,646.7
41.820000,45.941667,69,0.850,4121.7
46.113333,46.285000,72,0.551,171.7
46.113333,46.285000,84,0.339,171.7
46.456667,49.066667,86,0.598,2610.0
46.456667,49.235000,74,0.543,2778.3
49.403333,49.571667,86,0.370,168.3
50.195000,50.346667,69,0.378,151.7
50.346667,50.650000,72,0.591,303.3
50.650000,51.120000,74,0.622,470.0
51.433333,52.065000,74,0.480,631.7
51.433333,52.065000,86,0.457,631.7
53.000000,53.153333,76,0.370,153.3
53.153333,54.193333,77,0.693,1040.0
54.193333,56.210000,76,0.780,2016.7
56.373333,56.536667,74,0.591,163.3
57.190000,57.665000,72,0.685,475.0
57.665000,57.981667,74,0.638,316.7
58.443333,58.898333,74,0.646,455.0
58.443333,58.746667,86,0.417,303.3
59.520000,59.990000,74,0.465,470.0
59.990000,60.153333,76,0.354,163.3
60.153333,60.970000,77,0.685,816.7
60.316667,60.806667,74,0.449,490.0
61.128333,61.445000,76,0.677,316.7
61.603333,63.320000,76,0.709,1716.7
