onset_s,offset_s,pitch,strength_0_1,dur_ms
4.576899,4.820708,38,0.457,243.8
7.840586,8.782278,62,0.795,941.7
8.050850,8.271439,62,0.646,220.6
8.271439,8.782278,62,0.346,510.8
8.445589,8.828718,69,0.701,383.1
8.584909,8.828718,69,0.638,243.8
9.002868,9.374387,69,0.339,371.5
9.211848,9.490487,62,0.591,278.6
9.583367,10.002610,60,0.661,419.2
9.815566,10.002610,60,0.583,187.0
10.141930,10.374129,60,0.370,232.2
10.432179,11.256488,62,0.787,824.3
10.873358,11.012678,62,0.709,139.3
11.012678,11.256488,62,0.646,243.8
11.384197,11.919540,62,0.528,535.3
12.116910,13.835186,62,0.575,1718.3
12.418769,13.835186,62,0.472,1416.4
14.881368,15.427037,62,0.598,545.7
15.345767,15.833386,69,0.677,487.6
15.566357,15.833386,69,0.677,267.0
16.194580,16.333899,62,0.622,139.3
16.194580,16.333899,69,0.409,139.3
16.310679,16.914398,60,0.622,603.7
17.460067,20.539279,62,0.819,3079.2
18.018630,18.169560,62,0.819,150.9
18.169560,18.436589,62,0.630,267.0
18.436589,20.051660,62,0.638,1615.1
20.051660,20.341909,62,0.693,290.2
20.341909,20.539279,62,0.441,197.4
21.084948,21.259098,45,0.386,174.1
21.131388,21.305537,60,0.583,174.1
21.293927,22.758068,62,0.803,1464.1
21.444857,21.607397,62,0.575,162.5
21.607397,21.991810,62,0.748,384.4
21.991810,22.258839,62,0.646,267.0
22.258839,22.491039,62,0.354,232.2
22.258839,22.456209,69,0.598,197.4
22.491039,22.758068,62,0.331,267.0
22.630359,22.967048,69,0.488,336.7
23.059928,23.454667,62,0.472,394.7
23.059928,23.373397,69,0.386,313.5
23.570767,24.349919,60,0.795,779.2
23.756527,23.943570,60,0.795,187.0
23.943570,24.349919,60,0.472,406.3
24.094500,25.232278,62,0.740,1137.8
24.291869,24.674999,62,0.717,383.1
24.674999,24.918808,62,0.622,243.8
24.918808,25.232278,62,0.535,313.5
25.034908,25.359987,69,0.394,325.1
25.476087,25.719897,69,0.370,243.8
26.243629,27.858700,69,0.575,1615.1
26.499049,26.870568,69,0.504,371.5
26.510659,26.835738,62,0.283,325.1
26.870568,27.102768,69,0.575,232.2
27.102768,27.311747,69,0.480,209.0
27.311747,27.451067,69,0.425,139.3
27.451067,27.601997,69,0.512,150.9
27.601997,27.858700,69,0.551,256.7
28.787498,29.135798,62,0.724,348.3
28.810718,28.973258,86,0.402,162.5
29.124188,29.263507,67,0.622,139.3
29.275117,30.205200,69,0.488,930.1
29.588587,30.205200,69,0.488,616.6
30.065880,30.228420,62,0.567,162.5
