grid_index,time_s
0,0.330000
1,0.411667
2,0.493333
3,0.575000
4,0.656667
5,0.738333
6,0.820000
7,0.906667
8,0.993333
9,1.080000
10,1.166667
11,1.253333
12,1.340000
13,1.420000
14,1.500000
15,1.580000
16,1.660000
17,1.740000
18,1.820000
19,1.903333
20,1.986667
21,2.070000
22,2.153333
23,2.236667
24,2.320000
25,2.406667
26,2.493333
27,2.580000
28,2.666667
29,2.753333
30,2.840000
31,2.920000
32,3.000000
33,3.080000
34,3.160000
35,3.240000
36,3.320000
37,3.400000
38,3.480000
39,3.560000
40,3.640000
41,3.720000
42,3.800000
43,3.878333
44,3.956667
45,4.035000
46,4.113333
47,4.191667
48,4.270000
49,4.345000
50,4.420000
51,4.495000
52,4.570000
53,4.645000
54,4.720000
55,4.793333
56,4.866667
57,4.940000
58,5.013333
59,5.086667
60,5.160000
61,5.233333
62,5.306667
63,5.380000
64,5.453333
65,5.526667
66,5.600000
67,5.671667
68,5.743333
69,5.815000
70,5.886667
71,5.958333
72,6.030000
73,6.105000
74,6.180000
75,6.255000
76,6.330000
77,6.405000
78,6.480000
79,6.550000
80,6.620000
81,6.690000
82,6.760000
83,6.830000
84,6.900000
85,6.973333
86,7.046667
87,7.120000
88,7.193333
89,7.266667
90,7.340000
91,7.416667
92,7.493333
93,7.570000
94,7.646667
95,7.723333
96,7.800000
97,7.870000
98,7.940000
99,8.010000
100,8.080000
101,8.150000
102,8.220000
103,8.293333
104,8.366667
105,8.440000
106,8.513333
107,8.586667
108,8.660000
109,8.735000
110,8.810000
111,8.885000
112,8.960000
113,9.035000
114,9.110000
115,9.183333
116,9.256667
117,9.330000
118,9.403333
119,9.476667
120,9.550000
121,9.623333
122,9.696667
123,9.770000
124,9.843333
125,9.916667
126,9.990000
127,10.063333
128,10.136667
129,10.210000
130,10.283333
131,10.356667
132,10.430000
133,10.498333
134,10.566667
135,10.635000
136,10.703333
137,10.771667
138,10.840000
139,10.911667
140,10.983333
141,11.055000
142,11.126667
143,11.198333
144,11.270000
145,11.343333
146,11.416667
147,11.490000
148,11.563333
149,11.636667
150,11.710000
151,11.780000
152,11.850000
153,11.920000
154,11.990000
155,12.060000
156,12.130000
157,12.205000
158,12.280000
159,12.355000
160,12.430000
161,12.505000
162,12.580000
163,12.651667
164,12.723333
165,12.795000
166,12.866667
167,12.938333
168,13.010000
169,13.081667
170,13.153333
171,13.225000
172,13.296667
173,13.368333
174,13.440000
175,13.510000
176,13.580000
177,13.650000
178,13.720000
179,13.790000
180,13.860000
181,13.930000
182,14.000000
183,14.070000
184,14.140000
185,14.210000
186,14.280000
187,14.355000
188,14.430000
189,14.505000
190,14.580000
191,14.655000
192,14.730000
193,14.800000
194,14.870000
195,14.940000
196,15.010000
197,15.080000
198,15.150000
199,15.220000
200,15.290000
201,15.360000
202,15.430000
203,15.500000
204,15.570000
205,15.643333
206,15.716667
207,15.790000
208,15.863333
209,15.936667
210,16.010000
211,16.083333
212,16.156667
213,16.230000
214,16.303333
215,16.376667
216,16.450000
217,16.526667
218,16.603333
219,16.680000
220,16.756667
221,16.833333
222,16.910000
223,16.981667
224,17.053333
225,17.125000
226,17.196667
227,17.268333
228,17.340000
229,17.413333
230,17.486667
231,17.560000
232,17.633333
233,17.706667
234,17.780000
235,17.853333
236,17.926667
237,18.000000
238,18.073333
239,18.146667
240,18.220000
241,18.293333
242,18.366667
243,18.440000
244,18.513333
245,18.586667
246,18.660000
247,18.733333
248,18.806667
249,18.880000
250,18.953333
251,19.026667
252,19.100000
253,19.171667
254,19.243333
255,19.315000
256,19.386667
257,19.458333
258,19.530000
259,19.606667
260,19.683333
261,19.760000
262,19.836667
263,19.913333
264,19.990000
265,20.063333
266,20.136667
267,20.210000
268,20.283333
269,20.356667
270,20.430000
271,20.501667
272,20.573333
273,20.645000
274,20.716667
275,20.788333
276,20.860000
277,20.931667
278,21.003333
279,21.075000
280,21.146667
281,21.218333
282,21.290000
283,21.360000
284,21.430000
285,21.500000
286,21.570000
287,21.640000
288,21.710000
289,21.781667
290,21.853333
291,21.925000
292,21.996667
293,22.068333
294,22.140000
295,22.213333
296,22.286667
297,22.360000
298,22.433333
299,22.506667
300,22.580000
301,22.653333
302,22.726667
303,22.800000
304,22.873333
305,22.946667
306,23.020000
307,23.091667
308,23.163333
309,23.235000
310,23.306667
311,23.378333
312,23.450000
313,23.521667
314,23.593333
315,23.665000
316,23.736667
317,23.808333
318,23.880000
319,23.951667
320,24.023333
321,24.095000
322,24.166667
323,24.238333
324,24.310000
325,24.383333
326,24.456667
327,24.530000
328,24.603333
329,24.676667
330,24.750000
331,24.821667
332,24.893333
333,24.965000
334,25.036667
335,25.108333
336,25.180000
337,25.253333
338,25.326667
339,25.400000
340,25.473333
341,25.546667
342,25.620000
343,25.691667
344,25.763333
345,25.835000
346,25.906667
347,25.978333
348,26.050000
349,26.123333
350,26.196667
351,26.270000
352,26.343333
353,26.416667
354,26.490000
355,26.561667
356,26.633333
357,26.705000
358,26.776667
359,26.848333
360,26.920000
361,26.993333
362,27.066667
363,27.140000
364,27.213333
365,27.286667
366,27.360000
367,27.431667
368,27.503333
369,27.575000
370,27.646667
371,27.718333
372,27.790000
373,27.863333
374,27.936667
375,28.010000
376,28.083333
377,28.156667
378,28.230000
379,28.301667
380,28.373333
381,28.445000
382,28.516667
383,28.588333
384,28.660000
385,28.733333
386,28.806667
387,28.880000
388,28.953333
389,29.026667
390,29.100000
391,29.171667
392,29.243333
393,29.315000
394,29.386667
395,29.458333
396,29.530000
397,29.600000
398,29.670000
399,29.740000
400,29.810000
401,29.880000
402,29.950000
403,30.025000
404,30.100000
405,30.175000
406,30.250000
407,30.325000
408,30.400000
409,30.473333
410,30.546667
411,30.620000
412,30.693333
413,30.766667
414,30.840000
415,30.911667
416,30.983333
417,31.055000
418,31.126667
419,31.198333
420,31.270000
421,31.343333
422,31.416667
423,31.490000
424,31.563333
425,31.636667
426,31.710000
427,31.781667
428,31.853333
429,31.925000
430,31.996667
431,32.068333
432,32.140000
433,32.213333
434,32.286667
435,32.360000
436,32.433333
437,32.506667
438,32.580000
439,32.651667
440,32.723333
441,32.795000
442,32.866667
443,32.938333
444,33.010000
445,33.083333
446,33.156667
447,33.230000
448,33.303333
449,33.376667
450,33.450000
451,33.521667
452,33.593333
453,33.665000
454,33.736667
455,33.808333
456,33.880000
457,33.951667
458,34.023333
459,34.095000
460,34.166667
461,34.238333
462,34.310000
463,34.381667
464,34.453333
465,34.525000
466,34.596667
467,34.668333
468,34.740000
469,34.813333
470,34.886667
471,34.960000
472,35.033333
473,35.106667
474,35.180000
475,35.253333
476,35.326667
477,35.400000
478,35.473333
479,35.546667
480,35.620000
481,35.695000
482,35.770000
483,35.845000
484,35.920000
485,35.995000
486,36.070000
487,36.141667
488,36.213333
489,36.285000
490,36.356667
491,36.428333
492,36.500000
493,36.571667
494,36.643333
495,36.715000
496,36.786667
497,36.858333
498,36.930000
499,37.003333
500,37.076667
501,37.150000
502,37.223333
503,37.296667
504,37.370000
505,37.441667
506,37.513333
507,37.585000
508,37.656667
509,37.728333
510,37.800000
511,37.871667
512,37.943333
513,38.015000
514,38.086667
515,38.158333
516,38.230000
517,38.305000
518,38.380000
519,38.455000
520,38.530000
521,38.605000
522,38.680000
523,38.750000
524,38.820000
525,38.890000
526,38.960000
527,39.030000
528,39.100000
529,39.170000
530,39.240000
531,39.310000
532,39.380000
533,39.450000
534,39.520000
535,39.595000
536,39.670000
537,39.745000
538,39.820000
539,39.895000
540,39.970000
541,40.043333
542,40.116667
543,40.190000
544,40.263333
545,40.336667
546,40.410000
547,40.483333
548,40.556667
549,40.630000
550,40.703333
551,40.776667
552,40.850000
553,40.921667
554,40.993333
555,41.065000
556,41.136667
557,41.208333
558,41.280000
559,41.351667
560,41.423333
561,41.495000
562,41.566667
563,41.638333
564,41.710000
565,41.783333
566,41.856667
567,41.930000
568,42.003333
569,42.076667
570,42.150000
571,42.221667
572,42.293333
573,42.365000
574,42.436667
575,42.508333
576,42.580000
577,42.651667
578,42.723333
579,42.795000
580,42.866667
581,42.938333
582,43.010000
583,43.083333
584,43.156667
585,43.230000
586,43.303333
587,43.376667
588,43.450000
589,43.521667
590,43.593333
591,43.665000
592,43.736667
593,43.808333
594,43.880000
595,43.953333
596,44.026667
597,44.100000
598,44.173333
599,44.246667
600,44.320000
601,44.391667
602,44.463333
603,44.535000
604,44.606667
605,44.678333
606,44.750000
607,44.823333
608,44.896667
609,44.970000
610,45.043333
611,45.116667
612,45.190000
613,45.261667
614,45.333333
615,45.405000
616,45.476667
617,45.548333
618,45.620000
619,45.693333
620,45.766667
621,45.840000
622,45.913333
623,45.986667
624,46.060000
625,46.131667
626,46.203333
627,46.275000
628,46.346667
629,46.418333
630,46.490000
631,46.563333
