onset_s,offset_s,pitch,strength_0_1,dur_ms
1.253333,3.480000,26,0.583,2226.7
1.500000,1.903333,38,0.370,403.3
3.480000,4.191667,74,0.512,711.7
4.495000,4.793333,74,0.346,298.3
4.570000,6.900000,26,0.535,2330.0
4.570000,5.233333,38,0.457,663.3
6.255000,6.480000,50,0.378,225.0
7.800000,8.150000,38,0.362,350.0
7.800000,8.293333,62,0.701,493.3
8.220000,10.566667,26,0.559,2346.7
8.440000,8.810000,69,0.591,370.0
9.035000,9.256667,50,0.362,221.7
9.183333,9.330000,62,0.575,146.7
9.623333,9.916667,60,0.528,293.3
10.430000,11.198333,62,0.717,768.3
11.270000,11.710000,38,0.441,440.0
11.780000,13.930000,26,0.504,2150.0
12.060000,12.280000,38,0.402,220.0
12.355000,12.580000,62,0.409,225.0
13.650000,13.790000,38,0.331,140.0
13.930000,14.730000,74,0.480,800.0
14.800000,15.150000,34,0.472,350.0
14.870000,15.220000,62,0.685,350.0
14.870000,17.633333,22,0.409,2763.3
15.010000,15.150000,50,0.386,140.0
15.360000,15.790000,69,0.528,430.0
15.716667,15.863333,34,0.433,146.7
16.156667,16.376667,50,0.315,220.0
16.156667,16.303333,62,0.535,146.7
16.303333,16.603333,41,0.441,300.0
16.303333,16.680000,60,0.496,376.7
17.413333,18.220000,62,0.772,806.7
18.220000,19.386667,38,0.559,1166.7
18.513333,20.860000,26,0.504,2346.7
19.606667,19.836667,50,0.299,230.0
19.913333,20.356667,38,0.323,443.3
20.063333,20.645000,50,0.386,581.7
21.146667,21.290000,60,0.457,143.3
21.290000,22.286667,62,0.717,996.7
21.925000,24.310000,26,0.583,2385.0
22.286667,22.433333,69,0.488,146.7
22.286667,22.506667,50,0.457,220.0
23.521667,24.166667,60,0.630,645.0
24.095000,25.108333,62,0.520,1013.3
25.473333,27.718333,26,0.559,2245.0
26.561667,26.848333,50,0.362,286.7
27.213333,27.431667,50,0.362,218.3
28.880000,29.100000,62,0.606,220.0
29.600000,29.740000,69,0.433,140.0
29.670000,31.270000,22,0.433,1600.0
30.250000,31.055000,60,0.583,805.0
30.693333,31.055000,41,0.496,361.7
31.055000,33.450000,62,0.528,2395.0
32.140000,32.938333,38,0.354,798.3
32.433333,34.886667,26,0.543,2453.3
33.010000,33.230000,38,0.354,220.0
33.521667,33.736667,38,0.457,215.0
35.770000,37.728333,34,0.709,1958.3
35.770000,35.920000,46,0.417,150.0
36.213333,36.858333,46,0.441,645.0
36.213333,36.571667,65,0.409,358.3
36.500000,37.441667,53,0.559,941.7
36.715000,37.223333,65,0.449,508.3
37.513333,38.015000,67,0.669,501.7
37.871667,38.158333,46,0.354,286.7
37.871667,38.960000,34,0.622,1088.3
38.380000,38.750000,69,0.677,370.0
38.455000,38.680000,53,0.307,225.0
38.820000,38.960000,67,0.551,140.0
39.170000,39.380000,43,0.480,210.0
39.240000,41.208333,31,0.638,1968.3
39.520000,39.895000,65,0.630,375.0
39.970000,40.336667,69,0.370,366.7
39.970000,40.483333,65,0.512,513.3
39.970000,40.116667,72,0.323,146.7
40.116667,40.556667,50,0.370,440.0
40.116667,40.630000,43,0.465,513.3
40.850000,40.993333,43,0.378,143.3
40.993333,41.710000,67,0.559,716.7
41.065000,41.208333,55,0.433,143.3
41.280000,41.495000,72,0.276,215.0
41.638333,42.436667,31,0.606,798.3
41.856667,45.986667,69,0.685,4130.0
41.930000,42.580000,43,0.520,650.0
42.003333,43.230000,50,0.480,1226.7
42.003333,42.221667,62,0.394,218.3
42.365000,42.508333,41,0.260,143.3
42.580000,42.723333,57,0.346,143.3
42.580000,44.173333,38,0.638,1593.3
42.651667,43.376667,45,0.433,725.0
43.230000,43.376667,57,0.244,146.7
43.230000,45.766667,50,0.520,2536.7
43.593333,43.736667,26,0.417,143.3
43.953333,44.173333,26,0.394,220.0
44.173333,44.391667,45,0.323,218.3
44.391667,44.606667,26,0.370,215.0
