onset_s,offset_s,pitch,strength_0_1,dur_ms
1.253878,3.507497,26,0.583,2253.6
1.486077,1.892426,38,0.370,406.3
1.741497,3.507497,26,0.583,1766.0
3.519107,4.216990,74,0.512,697.9
4.518849,4.762659,74,0.346,243.8
4.588509,6.911788,26,0.535,2323.3
4.588509,5.215448,38,0.457,626.9
4.739439,4.948418,38,0.370,209.0
4.948418,5.215448,38,0.457,267.0
6.284849,6.482219,50,0.378,197.4
7.782537,8.120510,38,0.362,338.0
7.828976,8.283049,62,0.701,454.1
7.981190,8.283049,62,0.567,301.9
8.201780,10.583109,26,0.559,2381.3
8.433979,8.817108,69,0.591,383.1
8.666179,8.817108,69,0.465,150.9
9.060918,9.269898,50,0.362,209.0
9.211848,9.351167,62,0.575,139.3
9.606587,9.944560,60,0.528,338.0
9.803956,9.944560,60,0.465,140.6
10.432179,11.221658,62,0.717,789.5
11.256488,11.686057,38,0.441,429.6
11.419027,11.686057,38,0.441,267.0
11.755717,13.952570,26,0.504,2196.9
12.082080,12.302669,38,0.402,220.6
12.349109,12.558089,62,0.409,209.0
13.672647,13.811966,38,0.331,139.3
13.904846,14.718829,74,0.480,814.0
14.788488,15.136788,34,0.472,348.3
14.892978,15.218058,62,0.685,325.1
14.904588,17.634217,22,0.409,2729.6
15.009078,15.148398,50,0.386,139.3
15.357377,15.810166,69,0.528,452.8
15.566357,15.810166,69,0.528,243.8
15.694067,15.892720,34,0.433,198.7
16.124920,16.368729,50,0.315,243.8
16.159750,16.310679,62,0.535,150.9
16.299069,16.624149,41,0.441,325.1
16.310679,16.670589,60,0.496,359.9
17.390407,18.216000,62,0.772,825.6
17.890920,18.041850,62,0.772,150.9
18.041850,18.216000,62,0.614,174.1
18.204390,19.411827,38,0.559,1207.4
18.448199,18.773278,38,0.394,325.1
18.541079,20.887578,26,0.504,2346.5
18.773278,19.051918,38,0.449,278.6
19.051918,19.214458,38,0.559,162.5
19.214458,19.411827,38,0.425,197.4
19.620807,19.853006,50,0.299,232.2
19.935560,20.341909,38,0.323,406.3
20.098100,20.620549,50,0.386,522.4
20.121320,20.341909,38,0.323,220.6
20.458009,20.620549,50,0.386,162.5
21.131388,21.293927,60,0.457,162.5
21.293927,22.270449,62,0.717,976.5
21.444857,21.619007,62,0.496,174.1
21.619007,22.270449,62,0.496,651.4
21.910540,24.315089,26,0.583,2404.5
22.061470,24.315089,26,0.583,2253.6
22.258839,22.409769,69,0.488,150.9
22.282059,22.537479,50,0.457,255.4
23.489497,24.198990,60,0.630,709.5
23.652037,23.931960,60,0.630,279.9
23.931960,24.198990,60,0.417,267.0
24.094500,25.116178,62,0.520,1021.7
25.452867,27.752927,26,0.559,2300.1
26.557099,26.847348,50,0.362,290.2
27.207258,27.439457,50,0.362,232.2
28.891988,29.100968,62,0.606,209.0
29.600197,29.751127,69,0.433,150.9
29.704687,31.250098,22,0.433,1545.4
30.216810,31.052728,60,0.583,835.9
30.495449,30.913408,60,0.528,418.0
30.727649,31.087558,41,0.496,359.9
30.913408,31.052728,60,0.583,139.3
31.075948,33.434057,62,0.528,2358.1
32.133740,32.946438,38,0.354,812.7
32.249839,32.400769,62,0.480,150.9
32.400769,33.434057,62,0.465,1033.3
32.458819,34.909808,26,0.543,2451.0
33.039318,33.201858,38,0.354,162.5
33.503717,33.770746,38,0.457,267.0
35.734117,37.720707,34,0.709,1986.6
35.745727,35.955990,46,0.417,210.3
35.897940,36.490049,34,0.480,592.1
36.188190,36.873178,46,0.441,685.0
36.188190,36.582929,65,0.409,394.7
36.490049,37.128598,34,0.520,638.5
36.513269,37.465287,53,0.559,952.0
36.722249,37.244698,65,0.449,522.4
36.780298,37.012498,53,0.441,232.2
37.012498,37.465287,53,0.394,452.8
37.012498,37.244698,65,0.409,232.2
37.128598,37.395627,34,0.709,267.0
37.395627,37.581387,34,0.693,185.8
37.511727,38.012240,67,0.669,500.5
37.581387,37.720707,34,0.520,139.3
37.662657,37.861310,67,0.567,198.7
37.861310,38.186390,46,0.354,325.1
37.861310,38.012240,67,0.614,150.9
37.872920,38.987478,34,0.622,1114.6
38.372149,38.766888,69,0.677,394.7
38.430199,38.708839,53,0.307,278.6
38.732059,38.987478,34,0.622,255.4
38.801718,38.941038,67,0.551,139.3
39.173238,39.358997,43,0.480,185.8
39.231288,41.217878,31,0.638,1986.6
39.533147,39.929170,65,0.630,396.0
39.743410,39.929170,65,0.630,185.8
39.975610,40.347129,69,0.370,371.5
39.987220,40.509669,65,0.512,522.4
39.987220,40.149760,72,0.323,162.5
40.114930,40.567719,50,0.370,452.8
40.114930,40.347129,69,0.370,232.2
40.149760,40.660599,43,0.465,510.8
40.242639,40.509669,65,0.504,267.0
40.393569,40.567719,50,0.346,174.1
40.440009,40.660599,43,0.465,220.6
40.857968,41.008898,43,0.378,150.9
40.985678,41.682277,67,0.559,696.6
41.090168,41.241098,55,0.433,150.9
41.275927,41.461687,72,0.276,185.8
41.299147,41.508127,67,0.386,209.0
41.508127,41.682277,67,0.386,174.1
41.659057,42.449819,31,0.606,790.8
41.822880,45.958600,69,0.685,4135.7
41.938980,42.577529,43,0.520,638.5
41.973810,43.204468,50,0.480,1230.7
42.020250,42.217620,62,0.394,197.4
