time,frequency,confidence
0.000,603.675,0.076997
0.010,244.543,0.096942
0.020,660.063,0.061701
0.030,128.738,0.166117
0.040,43.194,0.769578
0.050,43.208,0.732229
0.060,43.149,0.462722
0.070,43.183,0.677449
0.080,43.135,0.584318
0.090,43.152,0.642687
0.100,43.101,0.728965
0.110,42.979,0.684003
0.120,43.130,0.783075
0.130,43.103,0.509608
0.140,43.187,0.797978
0.150,43.121,0.658117
0.160,43.151,0.606112
0.170,43.061,0.643128
0.180,42.943,0.505162
0.190,43.134,0.592054
0.200,43.119,0.484364
0.210,43.155,0.709885
0.220,43.126,0.556009
0.230,43.035,0.587176
0.240,42.957,0.410181
0.250,32.289,0.287325
0.260,128.449,0.470198
0.270,128.953,0.339274
0.280,129.881,0.183921
0.290,131.053,0.139693
0.300,221.216,0.069789
0.310,32.190,0.026696
0.320,1114.098,0.014879
0.330,308.072,0.392543
0.340,310.922,0.333799
0.350,309.913,0.253674
0.360,322.293,0.441901
0.370,324.409,0.271332
0.380,256.758,0.237492
0.390,258.718,0.404628
0.400,252.108,0.222926
0.410,221.199,0.596145
0.420,221.172,0.601122
0.430,219.928,0.639816
0.440,217.381,0.539292
0.450,211.638,0.370057
0.460,278.497,0.200806
0.470,269.277,0.171922
0.480,315.757,0.226800
0.490,288.296,0.141639
0.500,226.831,0.188842
0.510,223.634,0.164643
0.520,262.537,0.189525
0.530,288.235,0.306356
0.540,263.329,0.257473
0.550,283.141,0.209495
0.560,261.035,0.273169
0.570,267.212,0.282149
0.580,150.728,0.120691
0.590,150.302,0.270914
0.600,197.159,0.039831
0.610,315.598,0.257442
0.620,318.732,0.404856
0.630,324.380,0.412539
0.640,278.760,0.500789
0.650,332.118,0.276955
0.660,333.147,0.507562
0.670,334.853,0.519514
0.680,332.697,0.249932
0.690,330.609,0.157583
0.700,32.085,0.060545
0.710,32.223,0.050184
0.720,34.679,0.445136
0.730,34.626,0.171599
0.740,1728.451,0.024587
0.750,1418.621,0.011759
0.760,32.083,0.037502
0.770,32.056,0.090379
0.780,32.241,0.065024
0.790,34.723,0.495844
0.800,35.510,0.235420
0.810,32.063,0.043667
0.820,32.155,0.022726
0.830,32.302,0.022789
0.840,77.067,0.024988
0.850,32.411,0.070949
0.860,32.335,0.020255
0.870,1040.829,0.011850
0.880,32.464,0.032922
0.890,35.271,0.257460
0.900,35.926,0.821351
0.910,36.211,0.853031
0.920,36.371,0.845059
0.930,36.817,0.774483
0.940,36.733,0.891494
0.950,36.830,0.851448
0.960,37.021,0.756827
0.970,36.789,0.809475
0.980,36.233,0.828153
0.990,35.999,0.778592
1.000,35.511,0.669382
1.010,34.998,0.811734
1.020,34.634,0.841465
1.030,34.936,0.698674
1.040,36.079,0.798799
1.050,36.305,0.887103
1.060,36.054,0.714412
1.070,36.359,0.858064
1.080,36.477,0.858591
1.090,36.400,0.769081
1.100,36.261,0.805796
1.110,36.070,0.772840
1.120,36.384,0.839490
1.130,36.468,0.875344
1.140,36.630,0.841177
1.150,36.881,0.774211
1.160,36.650,0.863367
1.170,36.583,0.880088
1.180,36.587,0.882442
1.190,36.553,0.833956
1.200,36.525,0.848044
1.210,36.420,0.886114
1.220,36.307,0.868246
1.230,36.587,0.854165
1.240,36.424,0.887574
1.250,36.381,0.862620
1.260,36.387,0.855438
1.270,36.264,0.826484
1.280,36.355,0.803291
1.290,36.237,0.855524
1.300,36.122,0.803378
1.310,36.416,0.852953
1.320,36.497,0.880552
1.330,36.569,0.838368
1.340,36.532,0.847609
1.350,36.364,0.894209
1.360,36.372,0.882368
1.370,36.369,0.880422
1.380,36.395,0.896935
1.390,36.437,0.864288
1.400,36.487,0.886441
1.410,36.322,0.837358
1.420,36.497,0.848330
1.430,36.474,0.904624
