time,frequency,confidence
0.000,603.684,0.063397
0.010,656.461,0.077218
0.020,663.093,0.061452
0.030,670.605,0.044856
0.040,42.944,0.772088
0.050,43.069,0.817043
0.060,43.202,0.798406
0.070,42.999,0.778799
0.080,43.202,0.833133
0.090,42.912,0.800201
0.100,43.145,0.831688
0.110,43.122,0.795850
0.120,43.190,0.813440
0.130,43.228,0.813305
0.140,42.915,0.776135
0.150,43.224,0.821771
0.160,43.050,0.808733
0.170,43.392,0.844544
0.180,43.334,0.851106
0.190,43.238,0.839991
0.200,43.210,0.846842
0.210,42.999,0.789380
0.220,43.256,0.826107
0.230,43.270,0.857267
0.240,43.498,0.839907
0.250,43.219,0.437177
0.260,42.943,0.228966
0.270,229.803,0.273593
0.280,227.842,0.266471
0.290,226.291,0.308020
0.300,226.512,0.369116
0.310,221.311,0.205946
0.320,153.081,0.170642
0.330,307.396,0.631054
0.340,315.695,0.606589
0.350,320.920,0.727593
0.360,323.041,0.623818
0.370,323.803,0.560255
0.380,322.524,0.148242
0.390,35.796,0.118567
0.400,35.683,0.119018
0.410,266.943,0.058509
0.420,230.177,0.099534
0.430,225.179,0.145002
0.440,158.346,0.061829
0.450,31.910,0.208431
0.460,158.203,0.093247
0.470,157.847,0.134732
0.480,317.834,0.587804
0.490,320.507,0.432878
0.500,320.886,0.341946
0.510,45.280,0.547413
0.520,45.042,0.583471
0.530,44.855,0.400377
0.540,43.191,0.217826
0.550,42.634,0.114942
0.560,35.899,0.136346
0.570,153.461,0.085226
0.580,39.189,0.058543
0.590,174.767,0.030186
0.600,43.831,0.049894
0.610,44.084,0.220757
0.620,44.441,0.106323
0.630,33.614,0.402412
0.640,34.065,0.052667
0.650,56.033,0.054082
0.660,56.006,0.180256
0.670,55.683,0.163543
0.680,33.069,0.121031
0.690,329.288,0.028694
0.700,54.213,0.047934
0.710,32.391,0.045553
0.720,365.353,0.164651
0.730,372.179,0.307915
0.740,369.555,0.429226
0.750,371.156,0.375673
0.760,368.496,0.185320
0.770,34.490,0.043478
0.780,38.085,0.267880
0.790,37.225,0.239804
0.800,36.767,0.463575
0.810,38.477,0.223253
0.820,38.112,0.028442
0.830,37.217,0.003343
0.840,33.148,0.043095
0.850,33.342,0.094505
0.860,256.804,0.101369
0.870,42.211,0.125403
0.880,126.155,0.113630
0.890,125.628,0.139605
0.900,127.504,0.218471
0.910,43.277,0.200046
0.920,32.130,0.079320
0.930,126.118,0.179090
0.940,125.736,0.189383
0.950,124.352,0.075886
0.960,121.354,0.160066
0.970,119.361,0.097283
0.980,39.483,0.049870
0.990,31.934,0.043755
1.000,32.128,0.147065
1.010,34.276,0.472953
1.020,114.177,0.037287
1.030,254.195,0.110293
1.040,115.325,0.270616
1.050,226.179,0.238069
1.060,32.062,0.135697
1.070,217.345,0.116858
1.080,211.302,0.046798
1.090,129.837,0.072997
1.100,128.212,0.085375
1.110,124.051,0.051867
1.120,32.888,0.005691
1.130,34.917,0.006155
1.140,35.488,0.031611
1.150,35.675,0.092555
1.160,36.786,0.223107
1.170,37.023,0.296156
1.180,37.351,0.053857
1.190,292.015,0.092133
1.200,37.301,0.075854
1.210,36.516,0.156080
1.220,98.662,0.135316
1.230,36.454,0.333385
1.240,182.339,0.257459
1.250,37.672,0.057174
1.260,177.693,0.044438
1.270,173.947,0.190807
1.280,34.827,0.119801
1.290,155.594,0.030340
1.300,177.600,0.025442
1.310,36.926,0.343964
1.320,36.421,0.126941
1.330,35.001,0.029958
1.340,80.017,0.018609
1.350,79.546,0.065931
1.360,981.635,0.008794
1.370,35.952,0.022916
1.380,36.080,0.445974
1.390,36.480,0.756633
1.400,36.359,0.540502
1.410,35.947,0.502298
1.420,36.684,0.411989
1.430,37.270,0.223021
1.440,148.139,0.231372
1.450,146.023,0.449151
1.460,146.981,0.464105
1.470,36.687,0.229592
1.480,149.017,0.068998
1.490,151.446,0.009601
1.500,32.280,0.004993
1.510,326.061,0.011957
1.520,34.805,0.034812
1.530,35.607,0.018489
